UniqueCount	AmbigCount
0	0
0	1
0	91
0	92
0	92
0	90
0	90
0	0
0	92
0	14
0	15
0	16
0	14
0	11
0	92
0	17
0	1143
0	1083
0	989
0	866
0	1147
0	1115
0	1108
0	1103
0	1069
0	1081
0	1071
0	1028
0	1053
0	1070
0	1047
0	914
0	1067
0	1119
0	1094
0	989
0	1054
0	987
0	1089
0	1111
7	1057
0	1041
0	986
0	1040
0	970
0	1106
0	1009
0	886
0	1080
0	949
0	870
0	899
0	953
0	1012
0	999
0	1107
0	1114
0	893
0	1110
0	620
0	854
0	1097
0	1072
0	1028
0	1098
0	958
0	1048
0	1073
0	1114
0	1044
0	974
0	1072
0	1094
0	1060
0	1100
0	1101
0	1025
0	1015
0	1095
0	1080
0	144
0	157
0	152
0	129
3	145
0	148
1	138
4	37
0	8
0	5
0	4
0	8
0	6
0	7
0	5
0	7
0	6
0	5
0	2
0	2
0	2
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	2
0	1
0	5
0	3
3	5
0	3
0	150
0	116
3	174
26	174
0	1888
0	1827
0	1679
0	1740
0	0
0	128
0	128
0	121
2	128
0	121
0	125
0	128
0	134
0	128
0	132
0	126
0	117
0	113
1	128
0	108
0	129
0	137
0	133
0	121
0	125
0	129
0	133
0	132
1	120
0	128
0	121
1	129
0	125
0	121
2	125
0	120
0	122
0	132
0	128
0	130
0	125
0	115
0	104
4	51
1	62
0	47
0	48
0	42
0	21
0	16
0	11
0	6
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	5702
7	3997
0	5553
2	4512
0	5527
0	5540
4	5555
0	4733
0	5450
1	5533
0	5538
0	5530
0	4792
0	5974
0	5562
0	5109
0	3241
12	2075
415	2
19	0
0	597
0	620
0	580
0	617
0	645
0	600
0	616
0	588
0	620
0	596
0	619
0	538
0	578
0	617
0	616
0	513
2	513
0	519
0	402
0	449
0	392
0	372
0	351
0	287
0	75
0	170
0	126
0	127
0	42
0	58
0	12
0	89
1	68
5	86
0	86
2	6
0	83
0	19
0	868
0	851
0	867
27	920
0	897
0	822
0	925
0	904
0	823
0	790
0	810
0	770
0	793
0	710
0	756
0	617
0	573
0	104
0	163
0	171
0	164
2	98
0	1129
0	1127
0	855
0	1074
0	1009
0	1152
0	1036
1	857
6	1072
23	771
0	1127
0	873
0	978
0	782
0	965
0	1042
0	825
0	334
0	394
6	207
0	216
0	335
0	289
0	288
11	254
0	193
2	90
0	106
1	14
0	14
0	370
0	371
21	369
0	371
0	350
3	367
0	368
0	366
0	48
5	0
0	1186
0	1155
0	1179
0	1134
0	1044
0	1102
0	1148
0	1076
0	261
0	334
2	13593
10	12976
0	14523
0	13895
2	12508
31	10874
3	14172
11	13923
0	695
9	713
0	705
0	499
0	696
1	518
1	699
2	697
0	697
0	475
0	732
2	601
0	709
9	720
0	518
131	3192
2	2715
0	2898
0	2988
0	2916
1	3063
1	2733
0	2998
4	3058
1208	3067
2	2651
0	2713
0	2289
513	889
5	482
1	231
1	495
0	511
0	273
2	649
2	485
0	302
0	181
0	280
20	60
15	301
1	37
0	36
0	37
0	36
0	36
0	17
0	12
5	0
0	52
0	126
0	149
4	206
0	201
0	12
2	48
0	1
0	207
0	258
2	265
2	248
0	155
0	150
0	394
0	408
0	433
0	458
0	436
7	435
0	427
0	422
0	405
6	436
5	118
61	2
12	2
0	1582
0	1881
0	2087
0	1764
0	1431
1	1790
99	233
169	0
0	703
0	787
0	823
0	654
0	741
0	659
0	788
0	806
0	800
0	710
0	657
0	805
0	811
0	792
0	652
0	812
0	792
0	746
0	816
0	818
0	749
0	805
0	802
0	797
0	800
0	801
0	816
0	705
0	764
0	730
0	784
0	781
0	826
0	821
0	725
0	783
0	765
0	697
25	804
0	764
0	787
0	608
0	774
0	84
0	762
0	810
0	730
0	814
0	772
0	810
0	726
0	782
0	803
0	771
0	776
0	772
0	714
0	733
0	714
0	719
0	789
0	786
0	722
0	789
0	693
0	786
0	765
0	780
0	803
0	685
0	710
0	641
0	687
0	786
0	773
0	718
0	806
0	637
0	740
0	781
0	788
0	784
0	782
0	735
0	805
0	790
0	785
0	637
0	772
0	683
0	765
0	702
0	798
0	801
0	785
0	767
0	803
0	796
